"playerid","age_first_game","age_last_game","career_length"
"buchhcl01","23 years 3 days","35 years 1 mon 15 days","12 years 1 mon 12 days"
"coxda01","23 years 10 mons 15 days","35 years 11 mons 27 days","12 years 1 mon 12 days"
"hargast01","22 years 10 mons 25 days","35 years 7 days","12 years 1 mon 12 days"
"cochrmi01","22 years 8 days","34 years 1 mon 19 days","12 years 1 mon 11 days"
"stoutal01","26 years 6 mons 16 days","38 years 7 mons 27 days","12 years 1 mon 11 days"
"betanra01","28 years 2 mons 14 days","40 years 3 mons 23 days","12 years 1 mon 9 days"
"nunezed01","18 years 10 mons 11 days","30 years 11 mons 20 days","12 years 1 mon 9 days"
"willied01","21 years 5 mons 17 days","33 years 6 mons 26 days","12 years 1 mon 9 days"
"minormi01","22 years 7 mons 14 days","34 years 8 mons 22 days","12 years 1 mon 8 days"
"eilanda01","22 years 29 days","34 years 2 mons 5 days","12 years 1 mon 7 days"
"howrybo01","24 years 10 mons 17 days","36 years 11 mons 24 days","12 years 1 mon 7 days"
"ruschgl01","22 years 4 mons 29 days","34 years 6 mons 6 days","12 years 1 mon 7 days"
"osbordo01","22 years 9 mons 18 days","34 years 10 mons 24 days","12 years 1 mon 6 days"
"shockur01","25 years 7 mons 2 days","37 years 8 mons 8 days","12 years 1 mon 6 days"
"felizne01","21 years 3 mons 1 day","33 years 4 mons 6 days","12 years 1 mon 5 days"
"thornma01","27 years 9 mons 12 days","39 years 10 mons 17 days","12 years 1 mon 5 days"
"kammwi01","23 years 2 mons 16 days","35 years 3 mons 20 days","12 years 1 mon 4 days"
"lakemal01","23 years 3 mons 19 days","35 years 4 mons 23 days","12 years 1 mon 4 days"
"griffto01","23 years 9 mons 24 days","35 years 10 mons 27 days","12 years 1 mon 3 days"
"hillaa01","23 years 1 mon 30 days","35 years 3 mons 2 days","12 years 1 mon 3 days"
"mcelrch01","21 years 11 mons 3 days","34 years 6 days","12 years 1 mon 3 days"
"jacksjo01","21 years 1 mon 9 days","33 years 2 mons 11 days","12 years 1 mon 2 days"
"meinehe01","26 years 3 mons 15 days","38 years 4 mons 17 days","12 years 1 mon 2 days"
"paytoja01","25 years 9 mons 9 days","37 years 10 mons 11 days","12 years 1 mon 2 days"
"redmomi01","27 years 26 days","39 years 1 mon 28 days","12 years 1 mon 2 days"
"cainma01","20 years 10 mons 28 days","32 years 11 mons 29 days","12 years 1 mon 1 day"
"howarry01","24 years 9 mons 12 days","36 years 10 mons 13 days","12 years 1 mon 1 day"
"cooledu01","20 years 3 mons 29 days","32 years 4 mons 28 days","12 years 30 days"
"lindsfr01","18 years 4 mons 24 days","30 years 5 mons 24 days","12 years 1 mon"
"morame01","27 years 3 mons 28 days","39 years 4 mons 27 days","12 years 30 days"
"reynoca01","24 years 7 mons","36 years 8 mons","12 years 1 mon"
"rusieam01","17 years 11 mons 10 days","30 years 10 days","12 years 1 mon"
"barmecl01","24 years 5 mons 30 days","36 years 6 mons 29 days","12 years 29 days"
"husonje01","24 years 18 days","36 years 1 mon 17 days","12 years 29 days"
"webstmi01","24 years 3 mons 17 days","36 years 4 mons 16 days","12 years 29 days"
"dropowa01","26 years 2 mons 20 days","38 years 3 mons 18 days","12 years 28 days"
"hearnji01","26 years 6 days","38 years 1 mon 4 days","12 years 28 days"
"worreto01","25 years 11 mons","37 years 11 mons 27 days","12 years 28 days"
"gedmari01","20 years 11 mons 11 days","33 years 8 days","12 years 27 days"
"hallch02","21 years 11 mons 16 days","34 years 11 days","12 years 26 days"
"holdsji01","21 years 10 mons","33 years 10 mons 26 days","12 years 26 days"
"milleco01","25 years 5 mons 17 days","37 years 6 mons 11 days","12 years 25 days"
"ramosdo01","20 years 5 mons 10 days","32 years 6 mons 5 days","12 years 25 days"
"ruhleve01","23 years 7 mons 15 days","35 years 8 mons 10 days","12 years 25 days"
"castial01","25 years 3 mons 18 days","37 years 4 mons 11 days","12 years 24 days"
"clarkda05","24 years","36 years 24 days","12 years 24 days"
"riverlu01","22 years 7 mons","34 years 7 mons 24 days","12 years 24 days"
"leonade01","23 years 3 mons 17 days","35 years 4 mons 9 days","12 years 23 days"
"navardi01","20 years 6 mons 27 days","32 years 7 mons 21 days","12 years 23 days"
"oestero01","22 years 4 mons 5 days","34 years 4 mons 29 days","12 years 23 days"
"fossera01","20 years 5 mons 4 days","32 years 5 mons 26 days","12 years 22 days"
"gomesjo01","22 years 9 mons 20 days","34 years 10 mons 12 days","12 years 22 days"
"poseybu01","22 years 5 mons 15 days","34 years 6 mons 7 days","12 years 22 days"
"rueteki01","22 years 7 mons 6 days","34 years 7 mons 28 days","12 years 22 days"
"schlala01","23 years 11 mons 28 days","36 years 20 days","12 years 22 days"
"valleda01","23 years 10 mons 8 days","35 years 10 mons 30 days","12 years 22 days"
"barneje01","22 years 11 mons 4 days","34 years 11 mons 25 days","12 years 21 days"
"dejesda01","23 years 8 mons 13 days","35 years 9 mons 3 days","12 years 21 days"
"dobyla01","23 years 6 mons 23 days","35 years 7 mons 13 days","12 years 21 days"
"powerte01","26 years 7 mons 9 days","38 years 7 mons 30 days","12 years 21 days"
"leipeda01","22 years 2 mons 14 days","34 years 3 mons 4 days","12 years 20 days"
"mccrato01","22 years 6 mons 13 days","34 years 7 mons 3 days","12 years 20 days"
"torreyo01","23 years 1 mon 17 days","35 years 2 mons 6 days","12 years 20 days"
"lowelmi01","24 years 6 mons 17 days","36 years 7 mons 6 days","12 years 19 days"
"stewach01","24 years 6 mons 15 days","36 years 7 mons 6 days","12 years 19 days"
"tidrodi01","24 years 11 mons 4 days","36 years 11 mons 24 days","12 years 19 days"
"trevial01","21 years 16 days","33 years 1 mon 4 days","12 years 19 days"
"waitsri01","21 years 4 mons 2 days","33 years 4 mons 22 days","12 years 19 days"
"frankfr02","23 years 4 mons 28 days","35 years 5 mons 16 days","12 years 18 days"
"hockide01","23 years 5 mons 8 days","35 years 5 mons 26 days","12 years 18 days"
"killebi01","21 years 11 mons 3 days","33 years 11 mons 22 days","12 years 18 days"
"manwaki01","22 years 2 mons","34 years 2 mons 19 days","12 years 18 days"
"outlaji01","24 years 3 mons","36 years 3 mons 19 days","12 years 18 days"
"stanljo02","16 years 5 mons 9 days","28 years 5 mons 27 days","12 years 18 days"
"batteea01","20 years 8 mons 5 days","32 years 8 mons 22 days","12 years 17 days"
"blakeca01","25 years 11 mons 22 days","38 years 8 days","12 years 17 days"
"brownol02","21 years 6 mons 28 days","33 years 7 mons 16 days","12 years 17 days"
"stylele01","19 years 9 mons 13 days","31 years 10 mons","12 years 17 days"
"zimmejo02","22 years 10 mons 28 days","34 years 11 mons 15 days","12 years 17 days"
"edwarha01","22 years 7 mons 12 days","34 years 7 mons 28 days","12 years 16 days"
"welchmi01","20 years 9 mons 28 days","32 years 10 mons 13 days","12 years 16 days"
"wyrosjo01","23 years 1 mon 29 days","35 years 2 mons 14 days","12 years 16 days"
"casanra01","23 years 9 mons 1 day","35 years 9 mons 16 days","12 years 15 days"
"harshja01","21 years 2 mons 4 days","33 years 2 mons 20 days","12 years 15 days"
"ortizru01","23 years 9 mons 27 days","35 years 10 mons 12 days","12 years 15 days"
"barrere01","22 years 7 mons 1 day","34 years 7 mons 15 days","12 years 14 days"
"camildo01","26 years 4 mons 16 days","38 years 5 mons","12 years 14 days"
"sandede02","21 years 9 mons 22 days","33 years 10 mons 5 days","12 years 14 days"
"valdece01","25 years 1 mon 17 days","37 years 2 mons","12 years 14 days"
"allisbo01","24 years 2 mons 5 days","36 years 2 mons 18 days","12 years 13 days"
"bierblo01","20 years 6 mons 19 days","32 years 7 mons 2 days","12 years 13 days"
"blevije01","24 years 10 days","36 years 23 days","12 years 13 days"
"perryge01","22 years 9 mons 12 days","34 years 9 mons 25 days","12 years 13 days"
"robersh01","21 years 8 mons 7 days","33 years 8 mons 20 days","12 years 13 days"
"ziskri01","22 years 7 mons 2 days","34 years 7 mons 15 days","12 years 13 days"
"adamssp01","28 years 23 days","40 years 1 mon 4 days","12 years 12 days"
"molinbe01","24 years 2 mons 1 day","36 years 2 mons 14 days","12 years 12 days"
"triangu01","23 years 4 days","35 years 16 days","12 years 12 days"
"bluelu01","24 years 1 mon 9 days","36 years 1 mon 20 days","12 years 11 days"
"campbbr01","20 years 10 mons 23 days","32 years 11 mons 3 days","12 years 11 days"
"hosmeer01","21 years 6 mons 13 days","33 years 6 mons 23 days","12 years 10 days"
"averiea01","26 years 10 mons 26 days","38 years 11 mons 4 days","12 years 9 days"
"cishest01","24 years 3 mons 8 days","36 years 3 mons 16 days","12 years 8 days"
"reynoal01","25 years 7 mons 7 days","37 years 7 mons 15 days","12 years 8 days"
"castrja01","23 years 4 days","35 years 11 days","12 years 7 days"
"daviscu01","30 years 7 mons 14 days","42 years 7 mons 21 days","12 years 7 days"
"castege01","27 years 1 mon 6 days","39 years 1 mon 12 days","12 years 6 days"
"dickege02","20 years 2 mons 11 days","32 years 2 mons 17 days","12 years 6 days"
"flahepa02","23 years 2 mons 9 days","35 years 2 mons 15 days","12 years 6 days"
"labincl01","23 years 8 mons 12 days","35 years 8 mons 18 days","12 years 6 days"
"youngba01","21 years 2 mons 25 days","33 years 3 mons 1 day","12 years 6 days"
"allenet01","22 years 5 mons 12 days","34 years 5 mons 17 days","12 years 5 days"
"daviswa01","23 years 11 mons 29 days","36 years 4 days","12 years 5 days"
"ryanco01","22 years 1 mon 16 days","34 years 1 mon 21 days","12 years 5 days"
"smallaa01","22 years 6 mons 18 days","34 years 6 mons 22 days","12 years 4 days"
"goochjo01","23 years 10 mons","35 years 10 mons 3 days","12 years 3 days"
"mcgrabo01","22 years 5 mons 15 days","34 years 5 mons 18 days","12 years 3 days"
"reddijo01","22 years 5 mons 12 days","34 years 5 mons 12 days","12 years 3 days"
"scutama01","26 years 8 mons 22 days","38 years 8 mons 25 days","12 years 3 days"
"zimmehe01","20 years 6 mons 27 days","32 years 7 mons 1 day","12 years 2 days"
"spierbi01","22 years 10 mons 2 days","34 years 10 mons 3 days","12 years 1 day"
"strasst01","21 years 10 mons 19 days","33 years 10 mons 20 days","12 years 1 day"
"bakerfl01","26 years 6 mons 25 days","38 years 6 mons 25 days","12 years"
"mccurha01","22 years 9 mons 16 days","34 years 9 mons 16 days","12 years"
"morsemi01","23 years 2 mons 9 days","35 years 2 mons 7 days","11 years 11 mons 29 days"
"reganph01","23 years 3 mons 13 days","35 years 3 mons 9 days","11 years 11 mons 27 days"
"colemvi01","23 years 6 mons 26 days","35 years 6 mons 22 days","11 years 11 mons 26 days"
"ransoco01","25 years 6 mons 17 days","37 years 6 mons 14 days","11 years 11 mons 26 days"
"spangal01","26 years 2 mons 8 days","38 years 2 mons 4 days","11 years 11 mons 26 days"
"correke01","22 years 10 mons 17 days","34 years 10 mons 11 days","11 years 11 mons 25 days"
"scottmi03","23 years 11 mons 22 days","35 years 11 mons 17 days","11 years 11 mons 25 days"
"belliro01","23 years 5 mons 5 days","35 years 4 mons 29 days","11 years 11 mons 24 days"
"betemwi01","19 years 10 mons 16 days","31 years 10 mons 10 days","11 years 11 mons 24 days"
"lobatjo01","24 years 8 mons 15 days","36 years 8 mons 8 days","11 years 11 mons 24 days"
"mcgeeja01","24 years 1 mon 8 days","36 years 1 mon 2 days","11 years 11 mons 24 days"
"neaglde01","22 years 10 mons 14 days","34 years 10 mons 7 days","11 years 11 mons 24 days"
"lopezro01","24 years 4 mons 15 days","36 years 4 mons 8 days","11 years 11 mons 23 days"
"pipgrge01","23 years 5 mons 20 days","35 years 5 mons 13 days","11 years 11 mons 23 days"
"clevere01","21 years 4 mons 9 days","33 years 4 mons","11 years 11 mons 22 days"
"hevinjo01","24 years 4 mons 25 days","36 years 4 mons 17 days","11 years 11 mons 22 days"
"turlebo01","21 years 10 days","33 years 2 days","11 years 11 mons 22 days"
"mossle01","21 years 3 mons 27 days","33 years 3 mons 18 days","11 years 11 mons 21 days"
"hogansh01","19 years 3 mons 2 days","31 years 2 mons 23 days","11 years 11 mons 20 days"
"rhemfl01","23 years 7 mons 13 days","35 years 7 mons 2 days","11 years 11 mons 20 days"
"colbrgr01","22 years 11 mons 14 days","34 years 11 mons 2 days","11 years 11 mons 19 days"
"sothoal01","21 years 4 mons 20 days","33 years 4 mons 9 days","11 years 11 mons 19 days"
"passecl01","26 years 5 mons 20 days","38 years 5 mons 8 days","11 years 11 mons 18 days"
"riggsle01","24 years 6 days","35 years 11 mons 24 days","11 years 11 mons 18 days"
"feldmsc01","22 years 6 mons 24 days","34 years 6 mons 10 days","11 years 11 mons 17 days"
"colliph01","22 years 1 mon 11 days","34 years 27 days","11 years 11 mons 16 days"
"chadbch01","21 years 10 mons 20 days","33 years 10 mons 5 days","11 years 11 mons 15 days"
"mccarda01","23 years 5 mons 24 days","35 years 5 mons 8 days","11 years 11 mons 15 days"
"mulvejo01","24 years 7 mons 4 days","36 years 6 mons 18 days","11 years 11 mons 14 days"
"reisepe01","21 years 4 mons 6 days","33 years 3 mons 19 days","11 years 11 mons 13 days"
"schuri01","22 years 7 mons 6 days","34 years 6 mons 19 days","11 years 11 mons 13 days"
"mayele01","24 years 7 mons 6 days","36 years 6 mons 18 days","11 years 11 mons 12 days"
"odombl01","19 years 3 mons 7 days","31 years 2 mons 19 days","11 years 11 mons 12 days"
"shindbi01","25 years 10 mons","37 years 9 mons 12 days","11 years 11 mons 12 days"
"zahnge01","27 years 8 mons 14 days","39 years 7 mons 26 days","11 years 11 mons 12 days"
"hitchst01","21 years 4 mons 12 days","33 years 3 mons 23 days","11 years 11 mons 11 days"
"parenma01","25 years 4 days","36 years 11 mons 15 days","11 years 11 mons 11 days"
"eischjo01","24 years 25 days","36 years 4 days","11 years 11 mons 10 days"
"darliro01","23 years 18 days","34 years 11 mons 27 days","11 years 11 mons 9 days"
"lewisda01","22 years 11 mons 24 days","34 years 11 mons 2 days","11 years 11 mons 9 days"
"boonera01","25 years 1 mon 7 days","37 years 15 days","11 years 11 mons 8 days"
"lairdge01","23 years 5 mons 17 days","35 years 4 mons 25 days","11 years 11 mons 8 days"
"reynosh01","24 years 3 mons 25 days","36 years 3 mons 2 days","11 years 11 mons 8 days"
"escobke01","21 years 2 mons 18 days","33 years 1 mon 25 days","11 years 11 mons 7 days"
"dennyjo01","21 years 10 mons 4 days","33 years 9 mons 10 days","11 years 11 mons 6 days"
"baumgst01","19 years 6 mons 12 days","31 years 5 mons 16 days","11 years 11 mons 4 days"
"cervefr01","22 years 6 mons 12 days","34 years 5 mons 16 days","11 years 11 mons 4 days"
"daviski01","24 years 3 mons 21 days","36 years 2 mons 23 days","11 years 11 mons 2 days"
"deerro01","23 years 11 mons 5 days","35 years 10 mons 6 days","11 years 11 mons 1 day"
"gladdfr01","25 years 3 days","36 years 11 mons 4 days","11 years 11 mons 1 day"
"cainlo01","24 years 3 mons 3 days","36 years 2 mons 3 days","11 years 11 mons"
"lyonbr01","21 years 11 mons 25 days","33 years 10 mons 25 days","11 years 11 mons"
"weintph01","25 years 10 mons 24 days","37 years 9 mons 24 days","11 years 11 mons"
"johnsji02","21 years 8 mons 18 days","33 years 7 mons 16 days","11 years 10 mons 28 days"
"hammoje01","22 years 3 mons 20 days","34 years 2 mons 17 days","11 years 10 mons 27 days"
"telfoan01","24 years 5 mons 13 days","36 years 4 mons 9 days","11 years 10 mons 27 days"
"cummimi01","21 years 10 mons 27 days","33 years 9 mons 23 days","11 years 10 mons 26 days"
"lemasjo01","21 years 2 mons 13 days","33 years 1 mon 9 days","11 years 10 mons 26 days"
"bronkhe01","25 years 5 mons 21 days","37 years 4 mons 16 days","11 years 10 mons 25 days"
"stransa01","19 years 6 mons 25 days","31 years 5 mons 19 days","11 years 10 mons 25 days"
"kaplega01","23 years 1 mon 20 days","35 years 14 days","11 years 10 mons 24 days"
"thompmi02","25 years 7 mons 30 days","37 years 6 mons 23 days","11 years 10 mons 24 days"
"mcdowja01","21 years 7 mons 30 days","33 years 6 mons 23 days","11 years 10 mons 23 days"
"demarfr02","22 years 1 mon 12 days","34 years 3 days","11 years 10 mons 22 days"
"evansal01","22 years 11 mons 15 days","34 years 10 mons 7 days","11 years 10 mons 22 days"
"oldhare01","21 years 1 mon 4 days","32 years 11 mons 24 days","11 years 10 mons 20 days"
"davisdo02","23 years 10 mons 18 days","35 years 9 mons 7 days","11 years 10 mons 19 days"
"mowremi01","21 years 6 mons","33 years 4 mons 20 days","11 years 10 mons 19 days"
"ortizju01","22 years 10 mons 27 days","34 years 9 mons 15 days","11 years 10 mons 18 days"
"shautjo01","22 years 11 mons 5 days","34 years 9 mons 23 days","11 years 10 mons 18 days"
"axforjo01","26 years 5 mons 14 days","38 years 4 mons 1 day","11 years 10 mons 17 days"
"leecl02","24 years 16 days","35 years 11 mons 1 day","11 years 10 mons 16 days"
"redusga01","25 years 10 mons 6 days","37 years 8 mons 22 days","11 years 10 mons 16 days"
"youngch04","22 years 11 mons 13 days","34 years 9 mons 28 days","11 years 10 mons 16 days"
"hartech01","23 years 3 mons 16 days","35 years 2 mons","11 years 10 mons 15 days"
"wasdijo01","23 years 19 days","34 years 11 mons 2 days","11 years 10 mons 14 days"
"castrra01","23 years 5 mons 26 days","35 years 4 mons 8 days","11 years 10 mons 13 days"
"youngdm01","22 years 10 mons 18 days","34 years 9 mons","11 years 10 mons 13 days"
"leachte01","27 years 4 mons 30 days","39 years 3 mons 10 days","11 years 10 mons 11 days"
"roberda05","24 years 9 mons 25 days","36 years 8 mons 5 days","11 years 10 mons 10 days"
"boyleja01","19 years 6 mons 17 days","31 years 4 mons 25 days","11 years 10 mons 8 days"
"dipinfr01","24 years 10 mons 23 days","36 years 9 mons","11 years 10 mons 8 days"
"mondera01","22 years 4 mons 7 days","34 years 2 mons 15 days","11 years 10 mons 8 days"
"murraji01","24 years 7 mons 17 days","36 years 5 mons 25 days","11 years 10 mons 8 days"
"holbebi01","21 years 5 mons 22 days","33 years 3 mons 29 days","11 years 10 mons 7 days"
"grantge01","22 years 4 mons","34 years 2 mons 6 days","11 years 10 mons 6 days"
"faheybi01","21 years 3 mons 12 days","33 years 1 mon 17 days","11 years 10 mons 5 days"
"klimclo01","18 years 11 mons 12 days","30 years 9 mons 18 days","11 years 10 mons 5 days"
"lyonsde01","19 years 6 mons 6 days","31 years 4 mons 11 days","11 years 10 mons 5 days"
"readyra01","23 years 7 mons 27 days","35 years 6 mons 1 day","11 years 10 mons 5 days"
"vaughmo01","23 years 6 mons 12 days","35 years 4 mons 18 days","11 years 10 mons 5 days"
"diazbo01","24 years 5 mons 14 days","36 years 3 mons 17 days","11 years 10 mons 3 days"
"garceri01","19 years 4 mons","31 years 2 mons 2 days","11 years 10 mons 2 days"
"rookeji01","25 years 9 mons 7 days","37 years 7 mons 9 days","11 years 10 mons 2 days"
"broxtjo01","21 years 1 mon 13 days","32 years 11 mons 14 days","11 years 10 mons 1 day"
"guettle01","25 years 9 mons 20 days","37 years 7 mons 21 days","11 years 10 mons 1 day"
"rogerst01","23 years 8 mons 23 days","35 years 6 mons 24 days","11 years 10 mons 1 day"
"hillgl01","24 years 4 mons 9 days","36 years 2 mons 9 days","11 years 10 mons"
"hugheto02","22 years 7 mons 21 days","34 years 5 mons 20 days","11 years 9 mons 29 days"
"rossco01","22 years 6 mons 12 days","34 years 4 mons 9 days","11 years 9 mons 28 days"
"foxch02","26 years 10 mons 10 days","38 years 8 mons 6 days","11 years 9 mons 27 days"
"washiro01","25 years 4 mons 11 days","37 years 2 mons 8 days","11 years 9 mons 27 days"
"mcwilla01","24 years 5 mons 7 days","36 years 3 mons 2 days","11 years 9 mons 26 days"
"hutchir01","23 years 24 days","34 years 10 mons 19 days","11 years 9 mons 25 days"
"smithza01","23 years 8 mons 13 days","35 years 6 mons 8 days","11 years 9 mons 25 days"
"gutiefr01","22 years 6 mons 10 days","34 years 4 mons 3 days","11 years 9 mons 24 days"
"floydga01","21 years 7 mons 7 days","33 years 4 mons 29 days","11 years 9 mons 22 days"
"figgich01","24 years 7 mons 3 days","36 years 4 mons 22 days","11 years 9 mons 19 days"
"klubeco01","25 years 4 mons 21 days","37 years 2 mons 10 days","11 years 9 mons 19 days"
"winebo01","22 years 3 days","33 years 9 mons 21 days","11 years 9 mons 18 days"
"cunnijo01","22 years 10 mons 3 days","34 years 7 mons 21 days","11 years 9 mons 17 days"
"foutzda01","27 years 10 mons 22 days","39 years 8 mons 7 days","11 years 9 mons 16 days"
"parenfr01","23 years 8 mons 3 days","35 years 5 mons 19 days","11 years 9 mons 16 days"
"harribu01","22 years 9 mons 20 days","34 years 7 mons 4 days","11 years 9 mons 15 days"
"mulcahu01","21 years 10 mons 15 days","33 years 7 mons 29 days","11 years 9 mons 15 days"
"rasmude01","24 years 4 mons 28 days","36 years 2 mons 13 days","11 years 9 mons 15 days"
"bernato01","22 years 10 mons 20 days","34 years 8 mons 2 days","11 years 9 mons 13 days"
"agostju01","23 years 6 mons 12 days","35 years 3 mons 24 days","11 years 9 mons 12 days"
"lopezlu02","23 years 3 days","34 years 9 mons 15 days","11 years 9 mons 12 days"
"kennejo03","21 years 3 mons 7 days","33 years 18 days","11 years 9 mons 11 days"
"heepda01","22 years 1 mon 28 days","33 years 11 mons 5 days","11 years 9 mons 8 days"
"ohmanwi01","23 years 1 mon 6 days","34 years 10 mons 14 days","11 years 9 mons 8 days"
"nixontr01","22 years 5 mons 10 days","34 years 2 mons 17 days","11 years 9 mons 7 days"
"roberbo01","20 years 11 mons 16 days","32 years 8 mons 21 days","11 years 9 mons 5 days"
"weinele01","17 years 5 mons 3 days","29 years 2 mons 8 days","11 years 9 mons 5 days"
"jonesbo02","24 years 11 mons 21 days","36 years 8 mons 25 days","11 years 9 mons 4 days"
"cancero01","23 years 3 mons 30 days","35 years 1 mon 1 day","11 years 9 mons 2 days"
"garrra01","22 years 8 mons 22 days","34 years 5 mons 23 days","11 years 9 mons 1 day"
"pearcst01","24 years 4 mons 18 days","36 years 1 mon 18 days","11 years 8 mons 30 days"
"greggke01","25 years 1 mon 19 days","36 years 10 mons 17 days","11 years 8 mons 29 days"
"kernji01","25 years 5 mons 22 days","37 years 2 mons 15 days","11 years 8 mons 24 days"
"lopatst01","23 years 7 days","34 years 9 mons","11 years 8 mons 23 days"
"smithbr01","26 years 28 days","37 years 9 mons 21 days","11 years 8 mons 23 days"
"whiteje01","22 years 24 days","33 years 9 mons 17 days","11 years 8 mons 23 days"
"bibbyji01","27 years 10 mons 6 days","39 years 6 mons 28 days","11 years 8 mons 22 days"
"kellejo02","18 years 10 mons 18 days","30 years 7 mons 7 days","11 years 8 mons 20 days"
"hollagr01","24 years 8 mons 12 days","36 years 4 mons 26 days","11 years 8 mons 14 days"
"chitiha01","17 years 10 mons 11 days","29 years 6 mons 24 days","11 years 8 mons 13 days"
"jacobme01","21 years 6 mons 1 day","33 years 2 mons 14 days","11 years 8 mons 13 days"
"lachaca01","23 years 6 mons 1 day","35 years 2 mons 14 days","11 years 8 mons 13 days"
"liponjo01","19 years 9 mons 6 days","31 years 5 mons 15 days","11 years 8 mons 9 days"
"iviemi01","19 years 27 days","30 years 8 mons 30 days","11 years 8 mons 3 days"
"guttedo01","24 years 2 mons 18 days","35 years 10 mons 20 days","11 years 8 mons 2 days"
"suthega01","21 years 11 mons 20 days","33 years 7 mons 22 days","11 years 8 mons 2 days"
"adairje01","21 years 8 mons 16 days","33 years 4 mons 17 days","11 years 8 mons 1 day"
"huletti01","23 years 8 mons 3 days","35 years 4 mons 2 days","11 years 7 mons 29 days"
"anderbr02","21 years 4 mons 14 days","33 years 12 days","11 years 7 mons 28 days"
"montejo01","24 years 3 mons 9 days","35 years 11 mons 7 days","11 years 7 mons 28 days"
"olivomi01","24 years 2 mons","35 years 9 mons 27 days","11 years 7 mons 26 days"
"whitfte01","21 years 8 mons 17 days","33 years 4 mons 11 days","11 years 7 mons 24 days"
"stroppe01","24 years 2 mons 15 days","35 years 10 mons 3 days","11 years 7 mons 19 days"
"difelmi01","27 years 3 mons 4 days","38 years 10 mons 21 days","11 years 7 mons 17 days"
"sotoge01","22 years 8 mons 3 days","34 years 3 mons 18 days","11 years 7 mons 14 days"
"baumeji01","18 years 7 mons 16 days","30 years 2 mons 29 days","11 years 7 mons 13 days"
"mcgresc01","22 years 8 mons 1 day","34 years 3 mons 9 days","11 years 7 mons 8 days"
"johnske02","25 years 2 mons 27 days","36 years 10 mons 2 days","11 years 7 mons 5 days"
"howelha01","21 years 10 mons 26 days","33 years 6 mons","11 years 7 mons 4 days"
"kensilo01","22 years 2 mons 7 days","33 years 9 mons 8 days","11 years 7 mons 1 day"
"montemi01","23 years 1 mon 28 days","34 years 8 mons 27 days","11 years 6 mons 29 days"
"weilabo01","22 years 9 mons 16 days","34 years 4 mons 12 days","11 years 6 mons 26 days"
"wagneha01","22 years 3 mons 1 day","33 years 9 mons 17 days","11 years 6 mons 16 days"
"saylo01","19 years 2 mons 10 days","30 years 8 mons 15 days","11 years 6 mons 5 days"
"loopebr01","23 years 5 mons 3 days","34 years 11 mons 5 days","11 years 6 mons 2 days"
"griffmi01","22 years 27 days","33 years 6 mons 26 days","11 years 5 mons 29 days"
"hargrmi01","24 years 5 mons 12 days","35 years 11 mons 11 days","11 years 5 mons 29 days"
"sheetbe01","22 years 8 mons 18 days","34 years 2 mons 16 days","11 years 5 mons 28 days"
"brittza01","23 years 3 mons 12 days","34 years 9 mons 8 days","11 years 5 mons 27 days"
"radinsc01","22 years 1 mon 6 days","33 years 7 mons 2 days","11 years 5 mons 26 days"
"larocad01","24 years 5 mons 1 day","35 years 10 mons 26 days","11 years 5 mons 25 days"
"nolasri01","23 years 3 mons 23 days","34 years 9 mons 17 days","11 years 5 mons 25 days"
"beaumgi01","22 years 8 mons 29 days","34 years 2 mons 23 days","11 years 5 mons 24 days"
"halleto01","23 years 9 mons 18 days","35 years 3 mons 11 days","11 years 5 mons 23 days"
"murphdw01","23 years 21 days","34 years 6 mons 14 days","11 years 5 mons 23 days"
"millake01","26 years 6 mons 17 days","38 years 9 days","11 years 5 mons 22 days"
"rincori01","26 years 11 mons 20 days","38 years 5 mons 12 days","11 years 5 mons 22 days"
"corajo01","21 years 10 mons 23 days","33 years 4 mons 13 days","11 years 5 mons 21 days"
"millsal01","23 years 5 mons 27 days","34 years 11 mons 18 days","11 years 5 mons 21 days"
"gutieri01","22 years 10 mons 21 days","34 years 4 mons 11 days","11 years 5 mons 20 days"
"powervi01","26 years 5 mons 12 days","37 years 11 mons 2 days","11 years 5 mons 20 days"
"brutobi01","27 years 5 mons 4 days","38 years 10 mons 23 days","11 years 5 mons 19 days"
"knoblch01","22 years 9 mons 2 days","34 years 2 mons 20 days","11 years 5 mons 18 days"
"gonzato01","23 years 7 mons 15 days","35 years 1 mon 1 day","11 years 5 mons 17 days"
"porceri01","20 years 3 mons 13 days","31 years 8 mons 30 days","11 years 5 mons 17 days"
"swiftbi01","23 years 9 mons 23 days","35 years 3 mons 10 days","11 years 5 mons 17 days"
"tovarce01","24 years 9 mons 9 days","36 years 2 mons 26 days","11 years 5 mons 17 days"
"gagliph01","21 years 3 mons 20 days","32 years 9 mons 5 days","11 years 5 mons 15 days"
"weaveje01","22 years 7 mons 23 days","34 years 1 mon 7 days","11 years 5 mons 15 days"
"lumpeje01","22 years 10 mons 15 days","34 years 3 mons 29 days","11 years 5 mons 14 days"
"mccormi02","22 years 11 mons 10 days","34 years 4 mons 24 days","11 years 5 mons 14 days"
"mossido01","25 years 3 mons 6 days","36 years 8 mons 21 days","11 years 5 mons 14 days"
"peterru02","21 years 4 mons","32 years 9 mons 14 days","11 years 5 mons 14 days"
"bordafr01","24 years 3 mons 14 days","35 years 8 mons 27 days","11 years 5 mons 13 days"
"combsea01","24 years 11 mons 2 days","36 years 4 mons 15 days","11 years 5 mons 13 days"
